dataset_name,model,source_file,random_seed,test_size,stratified_split,num_train_rows,num_test_rows,num_features,train_num_clean,train_num_defective,test_num_clean,test_num_defective,train_label_distribution,test_label_distribution,selected_metrics,missing_metrics,dropped_all_nan_metrics,accuracy,precision,recall,f1,auc,model_path,feature_mode
cm1,rf,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\cm1_clean.parquet,42,0.2,True,398,100,5,359,39,90,10,"0:359,1:39","0:90,1:10","loc,v(g),ev(g),iv(g),branchCount",,,0.88,0.3333333333333333,0.2,0.25,0.53,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\hybrid_tfidf\rf_cm1.joblib,metrics+tfidf
cm1,xgb,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\cm1_clean.parquet,42,0.2,True,398,100,5,359,39,90,10,"0:359,1:39","0:90,1:10","loc,v(g),ev(g),iv(g),branchCount",,,0.86,0.16666666666666666,0.1,0.125,0.4922222222222222,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\hybrid_tfidf\xgb_cm1.joblib,metrics+tfidf
cm1,lgbm,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\cm1_clean.parquet,42,0.2,True,398,100,5,359,39,90,10,"0:359,1:39","0:90,1:10","loc,v(g),ev(g),iv(g),branchCount",,,0.86,0.16666666666666666,0.1,0.125,0.5188888888888888,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\hybrid_tfidf\lgbm_cm1.joblib,metrics+tfidf
jm1,rf,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\jm1_clean.parquet,42,0.2,True,10563,2641,5,8881,1682,2220,421,"0:8881,1:1682","0:2220,1:421","loc,v(g),ev(g),iv(g),branchCount",,,0.8341537296478606,0.4484848484848485,0.17577197149643706,0.2525597269624573,0.7095086773234042,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\hybrid_tfidf\rf_jm1.joblib,metrics+tfidf
jm1,xgb,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\jm1_clean.parquet,42,0.2,True,10563,2641,5,8881,1682,2220,421,"0:8881,1:1682","0:2220,1:421","loc,v(g),ev(g),iv(g),branchCount",,,0.8371828852707308,0.4608695652173913,0.12589073634204276,0.19776119402985073,0.7187691254199567,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\hybrid_tfidf\xgb_jm1.joblib,metrics+tfidf
jm1,lgbm,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\jm1_clean.parquet,42,0.2,True,10563,2641,5,8881,1682,2220,421,"0:8881,1:1682","0:2220,1:421","loc,v(g),ev(g),iv(g),branchCount",,,0.8402120408936009,0.49572649572649574,0.1377672209026128,0.21561338289962825,0.7167800817444523,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\hybrid_tfidf\lgbm_jm1.joblib,metrics+tfidf
kc1,rf,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\kc1_clean.parquet,42,0.2,True,1687,422,5,1426,261,357,65,"0:1426,1:261","0:357,1:65","loc,v(g),ev(g),iv(g),branchCount",,,0.8578199052132701,0.5714285714285714,0.3076923076923077,0.4,0.8066580478345184,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\hybrid_tfidf\rf_kc1.joblib,metrics+tfidf
kc1,xgb,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\kc1_clean.parquet,42,0.2,True,1687,422,5,1426,261,357,65,"0:1426,1:261","0:357,1:65","loc,v(g),ev(g),iv(g),branchCount",,,0.8649289099526066,0.6052631578947368,0.35384615384615387,0.44660194174757284,0.8039000215470804,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\hybrid_tfidf\xgb_kc1.joblib,metrics+tfidf
kc1,lgbm,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\kc1_clean.parquet,42,0.2,True,1687,422,5,1426,261,357,65,"0:1426,1:261","0:357,1:65","loc,v(g),ev(g),iv(g),branchCount",,,0.8625592417061612,0.5853658536585366,0.36923076923076925,0.4528301886792453,0.7979314802844215,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\hybrid_tfidf\lgbm_kc1.joblib,metrics+tfidf
pc1,rf,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\pc1_clean.parquet,42,0.2,True,887,222,4,825,62,207,15,"0:825,1:62","0:207,1:15","loc,v(g),ev(g),branchCount",iv(g),,0.9324324324324325,0.5,0.2,0.2857142857142857,0.7826086956521738,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\hybrid_tfidf\rf_pc1.joblib,metrics+tfidf
pc1,xgb,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\pc1_clean.parquet,42,0.2,True,887,222,4,825,62,207,15,"0:825,1:62","0:207,1:15","loc,v(g),ev(g),branchCount",iv(g),,0.9279279279279279,0.4444444444444444,0.26666666666666666,0.3333333333333333,0.7415458937198068,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\hybrid_tfidf\xgb_pc1.joblib,metrics+tfidf
pc1,lgbm,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\pc1_clean.parquet,42,0.2,True,887,222,4,825,62,207,15,"0:825,1:62","0:207,1:15","loc,v(g),ev(g),branchCount",iv(g),,0.9324324324324325,0.5,0.3333333333333333,0.4,0.7570048309178744,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\hybrid_tfidf\lgbm_pc1.joblib,metrics+tfidf
