dataset_name,model,candidate_index,split_mode,source_file,split_manifest_path,random_seed,num_train_rows,num_val_rows,num_test_rows,train_num_clean,train_num_defective,val_num_clean,val_num_defective,test_num_clean,test_num_defective,num_features,selected_metrics,missing_metrics,dropped_all_nan_metrics,params_json,model_path,val_accuracy,val_precision,val_recall,val_f1,val_auc,accuracy,precision,recall,f1,auc
jm1,lgbm,3,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\jm1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\jm1\split_manifest.json,42,7619,1089,2177,6147,1472,878,211,1757,420,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""n_estimators"": 400, ""num_leaves"": 31, ""subsample"": 0.8}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\jm1\lgbm_candidate3.joblib,0.8034894398530762,0.47619047619047616,0.14218009478672985,0.21897810218978103,0.6555749279383345,0.7988056959118053,0.4423076923076923,0.16428571428571428,0.23958333333333334,0.6627618776594302
kc1,rf,1,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\kc1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\kc1\split_manifest.json,42,1476,211,422,1248,228,178,33,357,65,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""max_depth"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\kc1\rf_candidate1.joblib,0.8246445497630331,0.42857142857142855,0.36363636363636365,0.39344262295081966,0.7671092951991829,0.8530805687203792,0.5365853658536586,0.3384615384615385,0.41509433962264153,0.8005602240896358
kc1,rf,2,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\kc1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\kc1\split_manifest.json,42,1476,211,422,1248,228,178,33,357,65,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""max_depth"": 12, ""min_samples_leaf"": 1, ""min_samples_split"": 4, ""n_estimators"": 300}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\kc1\rf_candidate2.joblib,0.8151658767772512,0.375,0.2727272727272727,0.3157894736842105,0.7745999319033027,0.8483412322274881,0.5121951219512195,0.3230769230769231,0.39622641509433965,0.8165697048049989
kc1,rf,3,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\kc1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\kc1\split_manifest.json,42,1476,211,422,1248,228,178,33,357,65,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""max_depth"": 18, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 400}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\kc1\rf_candidate3.joblib,0.8056872037914692,0.34615384615384615,0.2727272727272727,0.3050847457627119,0.7757916241062308,0.8483412322274881,0.5116279069767442,0.3384615384615385,0.4074074074074074,0.82049127343245
kc1,xgb,1,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\kc1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\kc1\split_manifest.json,42,1476,211,422,1248,228,178,33,357,65,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 200, ""subsample"": 0.8}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\kc1\xgb_candidate1.joblib,0.8151658767772512,0.375,0.2727272727272727,0.3157894736842105,0.7704290091930541,0.8483412322274881,0.5135135135135135,0.2923076923076923,0.37254901960784315,0.8137901314371904
kc1,xgb,2,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\kc1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\kc1\split_manifest.json,42,1476,211,422,1248,228,178,33,357,65,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.9}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\kc1\xgb_candidate2.joblib,0.8246445497630331,0.42857142857142855,0.36363636363636365,0.39344262295081966,0.7646407899216887,0.8601895734597157,0.5789473684210527,0.3384615384615385,0.42718446601941745,0.8017884076707606
kc1,xgb,3,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\kc1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\kc1\split_manifest.json,42,1476,211,422,1248,228,178,33,357,65,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 400, ""subsample"": 0.8}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\kc1\xgb_candidate3.joblib,0.8246445497630331,0.4375,0.42424242424242425,0.4307692307692308,0.7595335376234252,0.8483412322274881,0.5102040816326531,0.38461538461538464,0.43859649122807015,0.7798103856927386
kc1,lgbm,1,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\kc1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\kc1\split_manifest.json,42,1476,211,422,1248,228,178,33,357,65,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""n_estimators"": 200, ""num_leaves"": 31, ""subsample"": 0.8}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\kc1\lgbm_candidate1.joblib,0.8104265402843602,0.3793103448275862,0.3333333333333333,0.3548387096774194,0.7591079332652366,0.8483412322274881,0.5116279069767442,0.3384615384615385,0.4074074074074074,0.7975436328377505
kc1,lgbm,2,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\kc1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\kc1\split_manifest.json,42,1476,211,422,1248,228,178,33,357,65,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""n_estimators"": 300, ""num_leaves"": 63, ""subsample"": 0.9}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\kc1\lgbm_candidate2.joblib,0.8341232227488151,0.46153846153846156,0.36363636363636365,0.4067796610169492,0.7613210759278175,0.8507109004739336,0.5238095238095238,0.3384615384615385,0.411214953271028,0.790002154708037
kc1,lgbm,3,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\kc1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\kc1\split_manifest.json,42,1476,211,422,1248,228,178,33,357,65,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""n_estimators"": 400, ""num_leaves"": 31, ""subsample"": 0.8}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\kc1\lgbm_candidate3.joblib,0.8388625592417062,0.48,0.36363636363636365,0.41379310344827586,0.7587674497786858,0.8483412322274881,0.5102040816326531,0.38461538461538464,0.43859649122807015,0.7731092436974791
pc1,rf,1,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\pc1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\pc1\split_manifest.json,42,776,111,222,722,54,103,8,207,15,4,"loc,v(g),ev(g),branchCount",iv(g),,"{""max_depth"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\pc1\rf_candidate1.joblib,0.9279279279279279,0.0,0.0,0.0,0.7184466019417476,0.9414414414414415,0.6666666666666666,0.26666666666666666,0.38095238095238093,0.8107890499194848
pc1,rf,2,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\pc1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\pc1\split_manifest.json,42,776,111,222,722,54,103,8,207,15,4,"loc,v(g),ev(g),branchCount",iv(g),,"{""max_depth"": 12, ""min_samples_leaf"": 1, ""min_samples_split"": 4, ""n_estimators"": 300}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\pc1\rf_candidate2.joblib,0.9279279279279279,0.0,0.0,0.0,0.6893203883495145,0.9414414414414415,0.6666666666666666,0.26666666666666666,0.38095238095238093,0.8391304347826087
pc1,rf,3,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\pc1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\pc1\split_manifest.json,42,776,111,222,722,54,103,8,207,15,4,"loc,v(g),ev(g),branchCount",iv(g),,"{""max_depth"": 18, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 400}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\pc1\rf_candidate3.joblib,0.9279279279279279,0.0,0.0,0.0,0.7032766990291262,0.9369369369369369,0.6666666666666666,0.13333333333333333,0.2222222222222222,0.8320450885668277
pc1,xgb,1,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\pc1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\pc1\split_manifest.json,42,776,111,222,722,54,103,8,207,15,4,"loc,v(g),ev(g),branchCount",iv(g),,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 200, ""subsample"": 0.8}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\pc1\xgb_candidate1.joblib,0.9279279279279279,0.0,0.0,0.0,0.7281553398058253,0.9324324324324325,0.5,0.13333333333333333,0.21052631578947367,0.7685990338164251
pc1,xgb,2,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\pc1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\pc1\split_manifest.json,42,776,111,222,722,54,103,8,207,15,4,"loc,v(g),ev(g),branchCount",iv(g),,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.9}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\pc1\xgb_candidate2.joblib,0.9279279279279279,0.0,0.0,0.0,0.7475728155339805,0.9369369369369369,0.6666666666666666,0.13333333333333333,0.2222222222222222,0.7695652173913045
pc1,xgb,3,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\pc1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\pc1\split_manifest.json,42,776,111,222,722,54,103,8,207,15,4,"loc,v(g),ev(g),branchCount",iv(g),,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 400, ""subsample"": 0.8}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\pc1\xgb_candidate3.joblib,0.9279279279279279,0.0,0.0,0.0,0.7245145631067962,0.9279279279279279,0.42857142857142855,0.2,0.2727272727272727,0.7576489533011272
pc1,lgbm,1,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\pc1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\pc1\split_manifest.json,42,776,111,222,722,54,103,8,207,15,4,"loc,v(g),ev(g),branchCount",iv(g),,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""n_estimators"": 200, ""num_leaves"": 31, ""subsample"": 0.8}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\pc1\lgbm_candidate1.joblib,0.9279279279279279,0.0,0.0,0.0,0.7475728155339805,0.9369369369369369,0.5714285714285714,0.26666666666666666,0.36363636363636365,0.7914653784219001
pc1,lgbm,2,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\pc1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\pc1\split_manifest.json,42,776,111,222,722,54,103,8,207,15,4,"loc,v(g),ev(g),branchCount",iv(g),,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""n_estimators"": 300, ""num_leaves"": 63, ""subsample"": 0.9}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\pc1\lgbm_candidate2.joblib,0.9279279279279279,0.0,0.0,0.0,0.7754854368932038,0.9369369369369369,0.5714285714285714,0.26666666666666666,0.36363636363636365,0.756682769726248
pc1,lgbm,3,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\pc1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\pc1\split_manifest.json,42,776,111,222,722,54,103,8,207,15,4,"loc,v(g),ev(g),branchCount",iv(g),,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""n_estimators"": 400, ""num_leaves"": 31, ""subsample"": 0.8}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\pc1\lgbm_candidate3.joblib,0.9279279279279279,0.0,0.0,0.0,0.7779126213592232,0.9369369369369369,0.5714285714285714,0.26666666666666666,0.36363636363636365,0.7215780998389695
