dataset_name,model,source_file,random_seed,test_size,configured_models,configured_metrics,num_train_rows,num_test_rows,num_features,selected_metrics,missing_metrics,dropped_all_nan_metrics,accuracy,precision,recall,f1,auc,model_path,split_manifest_path,split_manifest_hash,split_mode,val_size,use_saved_splits,feature_mode,num_val_rows,rank_within_dataset
cm1,lgbm,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\experiments\cm1_experiment.parquet,42,0.2,"rf,xgb,lgbm","loc,v(g),ev(g),iv(g),branchCount",348,101,5,"loc,v(g),ev(g),iv(g),branchCount",,,0.8514851485148515,0.2222222222222222,0.2,0.21052631578947367,0.6494505494505495,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics\lgbm_cm1.joblib,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,e68a9110296eb4539f08ed7aaad9c2827203d3bb0376b9d3af3b4ea57d98486e,saved_split,0.1,True,metrics,49,1
cm1,rf,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\experiments\cm1_experiment.parquet,42,0.2,"rf,xgb,lgbm","loc,v(g),ev(g),iv(g),branchCount",348,101,5,"loc,v(g),ev(g),iv(g),branchCount",,,0.8811881188118812,0.3333333333333333,0.2,0.25,0.6115384615384616,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics\rf_cm1.joblib,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,e68a9110296eb4539f08ed7aaad9c2827203d3bb0376b9d3af3b4ea57d98486e,saved_split,0.1,True,metrics,49,2
cm1,xgb,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\experiments\cm1_experiment.parquet,42,0.2,"rf,xgb,lgbm","loc,v(g),ev(g),iv(g),branchCount",348,101,5,"loc,v(g),ev(g),iv(g),branchCount",,,0.8811881188118812,0.3333333333333333,0.2,0.25,0.5879120879120879,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics\xgb_cm1.joblib,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,e68a9110296eb4539f08ed7aaad9c2827203d3bb0376b9d3af3b4ea57d98486e,saved_split,0.1,True,metrics,49,3
jm1,rf,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\experiments\jm1_experiment.parquet,42,0.2,"rf,xgb,lgbm","loc,v(g),ev(g),iv(g),branchCount",9242,2642,5,"loc,v(g),ev(g),iv(g),branchCount",,,0.839894019682059,0.4941860465116279,0.20190023752969122,0.2866779089376054,0.7249382647391933,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics\rf_jm1.joblib,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\jm1\manifest.json,880b1f6e0cf37f271b855a8bec830726a0bed1dabdda97a0492084710042abce,saved_split,0.1,True,metrics,1320,1
jm1,xgb,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\experiments\jm1_experiment.parquet,42,0.2,"rf,xgb,lgbm","loc,v(g),ev(g),iv(g),branchCount",9242,2642,5,"loc,v(g),ev(g),iv(g),branchCount",,,0.8429220287660864,0.5306122448979592,0.12351543942992874,0.2003853564547206,0.7183455057050975,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics\xgb_jm1.joblib,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\jm1\manifest.json,880b1f6e0cf37f271b855a8bec830726a0bed1dabdda97a0492084710042abce,saved_split,0.1,True,metrics,1320,2
jm1,lgbm,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\experiments\jm1_experiment.parquet,42,0.2,"rf,xgb,lgbm","loc,v(g),ev(g),iv(g),branchCount",9242,2642,5,"loc,v(g),ev(g),iv(g),branchCount",,,0.8429220287660864,0.5272727272727272,0.1377672209026128,0.2184557438794727,0.7080234984348279,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics\lgbm_jm1.joblib,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\jm1\manifest.json,880b1f6e0cf37f271b855a8bec830726a0bed1dabdda97a0492084710042abce,saved_split,0.1,True,metrics,1320,3
kc1,xgb,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\experiments\kc1_experiment.parquet,42,0.2,"rf,xgb,lgbm","loc,v(g),ev(g),iv(g),branchCount",1476,423,5,"loc,v(g),ev(g),iv(g),branchCount",,,0.8581560283687943,0.5609756097560976,0.35384615384615387,0.4339622641509434,0.7934894714224323,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics\xgb_kc1.joblib,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\kc1\manifest.json,0d557017814d430009c614c1be875248f020efe4bb7799a98ae9acdc31501404,saved_split,0.1,True,metrics,210,1
kc1,rf,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\experiments\kc1_experiment.parquet,42,0.2,"rf,xgb,lgbm","loc,v(g),ev(g),iv(g),branchCount",1476,423,5,"loc,v(g),ev(g),iv(g),branchCount",,,0.8581560283687943,0.5555555555555556,0.38461538461538464,0.45454545454545453,0.7870863773098411,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics\rf_kc1.joblib,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\kc1\manifest.json,0d557017814d430009c614c1be875248f020efe4bb7799a98ae9acdc31501404,saved_split,0.1,True,metrics,210,2
kc1,lgbm,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\experiments\kc1_experiment.parquet,42,0.2,"rf,xgb,lgbm","loc,v(g),ev(g),iv(g),branchCount",1476,423,5,"loc,v(g),ev(g),iv(g),branchCount",,,0.8486997635933806,0.5106382978723404,0.36923076923076925,0.42857142857142855,0.7839063171465407,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics\lgbm_kc1.joblib,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\kc1\manifest.json,0d557017814d430009c614c1be875248f020efe4bb7799a98ae9acdc31501404,saved_split,0.1,True,metrics,210,3
pc1,rf,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\experiments\pc1_experiment.parquet,42,0.2,"rf,xgb,lgbm","loc,v(g),ev(g),iv(g),branchCount",776,223,4,"loc,v(g),ev(g),branchCount",iv(g),,0.9282511210762332,0.4,0.13333333333333333,0.2,0.7967948717948719,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics\rf_pc1.joblib,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\pc1\manifest.json,76781b4ddef3908e2d7b9e8539281437866dcd75d664d756c25dba7a62d92adc,saved_split,0.1,True,metrics,110,1
pc1,lgbm,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\experiments\pc1_experiment.parquet,42,0.2,"rf,xgb,lgbm","loc,v(g),ev(g),iv(g),branchCount",776,223,4,"loc,v(g),ev(g),branchCount",iv(g),,0.9237668161434978,0.3333333333333333,0.13333333333333333,0.19047619047619047,0.7645833333333333,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics\lgbm_pc1.joblib,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\pc1\manifest.json,76781b4ddef3908e2d7b9e8539281437866dcd75d664d756c25dba7a62d92adc,saved_split,0.1,True,metrics,110,2
pc1,xgb,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\experiments\pc1_experiment.parquet,42,0.2,"rf,xgb,lgbm","loc,v(g),ev(g),iv(g),branchCount",776,223,4,"loc,v(g),ev(g),branchCount",iv(g),,0.9237668161434978,0.25,0.06666666666666667,0.10526315789473684,0.7405448717948718,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics\xgb_pc1.joblib,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\pc1\manifest.json,76781b4ddef3908e2d7b9e8539281437866dcd75d664d756c25dba7a62d92adc,saved_split,0.1,True,metrics,110,3
